"species_a","species_b","sp_comb","rank","taxa_name","index","distance"
"Diplodus_annularis","Boops_boops","Boops_boops__Diplodus_annularis","Phylum","Actinobacteria","taxo_q0",0.333333333333333
"Diplodus_puntazzo","Boops_boops","Boops_boops__Diplodus_puntazzo","Phylum","Actinobacteria","taxo_q0",1
"Diplodus_sargus","Boops_boops","Boops_boops__Diplodus_sargus","Phylum","Actinobacteria","taxo_q0",0.714285714285714
"Diplodus_vulgaris","Boops_boops","Boops_boops__Diplodus_vulgaris","Phylum","Actinobacteria","taxo_q0",0.75
"Lithognathus_mormyrus","Boops_boops","Boops_boops__Lithognathus_mormyrus","Phylum","Actinobacteria","taxo_q0",1
"Oblada_melanura","Boops_boops","Boops_boops__Oblada_melanura","Phylum","Actinobacteria","taxo_q0",1
"Pagellus_acarne","Boops_boops","Boops_boops__Pagellus_acarne","Phylum","Actinobacteria","taxo_q0",1
"Pagellus_erythrinus","Boops_boops","Boops_boops__Pagellus_erythrinus","Phylum","Actinobacteria","taxo_q0",1
"Pagrus_pagrus","Boops_boops","Boops_boops__Pagrus_pagrus","Phylum","Actinobacteria","taxo_q0",1.66666666666667
"Sarpa_salpa","Boops_boops","Boops_boops__Sarpa_salpa","Phylum","Actinobacteria","taxo_q0",1
"Sparus_aurata","Boops_boops","Boops_boops__Sparus_aurata","Phylum","Actinobacteria","taxo_q0",1
"Diplodus_puntazzo","Diplodus_annularis","Diplodus_annularis__Diplodus_puntazzo","Phylum","Actinobacteria","taxo_q0",1
"Diplodus_sargus","Diplodus_annularis","Diplodus_annularis__Diplodus_sargus","Phylum","Actinobacteria","taxo_q0",1
"Diplodus_vulgaris","Diplodus_annularis","Diplodus_annularis__Diplodus_vulgaris","Phylum","Actinobacteria","taxo_q0",1
"Lithognathus_mormyrus","Diplodus_annularis","Diplodus_annularis__Lithognathus_mormyrus","Phylum","Actinobacteria","taxo_q0",1
"Oblada_melanura","Diplodus_annularis","Diplodus_annularis__Oblada_melanura","Phylum","Actinobacteria","taxo_q0",1
"Pagellus_acarne","Diplodus_annularis","Diplodus_annularis__Pagellus_acarne","Phylum","Actinobacteria","taxo_q0",1
"Pagellus_erythrinus","Diplodus_annularis","Diplodus_annularis__Pagellus_erythrinus","Phylum","Actinobacteria","taxo_q0",1
"Pagrus_pagrus","Diplodus_annularis","Diplodus_annularis__Pagrus_pagrus","Phylum","Actinobacteria","taxo_q0",2
"Sarpa_salpa","Diplodus_annularis","Diplodus_annularis__Sarpa_salpa","Phylum","Actinobacteria","taxo_q0",1
"Sparus_aurata","Diplodus_annularis","Diplodus_annularis__Sparus_aurata","Phylum","Actinobacteria","taxo_q0",1
"Diplodus_sargus","Diplodus_puntazzo","Diplodus_puntazzo__Diplodus_sargus","Phylum","Actinobacteria","taxo_q0",1.2
"Diplodus_vulgaris","Diplodus_puntazzo","Diplodus_puntazzo__Diplodus_vulgaris","Phylum","Actinobacteria","taxo_q0",0.818181818181818
"Lithognathus_mormyrus","Diplodus_puntazzo","Diplodus_puntazzo__Lithognathus_mormyrus","Phylum","Actinobacteria","taxo_q0",1
"Oblada_melanura","Diplodus_puntazzo","Diplodus_puntazzo__Oblada_melanura","Phylum","Actinobacteria","taxo_q0",1.4
"Pagellus_acarne","Diplodus_puntazzo","Diplodus_puntazzo__Pagellus_acarne","Phylum","Actinobacteria","taxo_q0",0.5
"Pagellus_erythrinus","Diplodus_puntazzo","Diplodus_puntazzo__Pagellus_erythrinus","Phylum","Actinobacteria","taxo_q0",0.25
"Pagrus_pagrus","Diplodus_puntazzo","Diplodus_puntazzo__Pagrus_pagrus","Phylum","Actinobacteria","taxo_q0",0.666666666666667
"Sarpa_salpa","Diplodus_puntazzo","Diplodus_puntazzo__Sarpa_salpa","Phylum","Actinobacteria","taxo_q0",1.22222222222222
"Sparus_aurata","Diplodus_puntazzo","Diplodus_puntazzo__Sparus_aurata","Phylum","Actinobacteria","taxo_q0",1
"Diplodus_vulgaris","Diplodus_sargus","Diplodus_sargus__Diplodus_vulgaris","Phylum","Actinobacteria","taxo_q0",0.272727272727273
"Lithognathus_mormyrus","Diplodus_sargus","Diplodus_sargus__Lithognathus_mormyrus","Phylum","Actinobacteria","taxo_q0",0.714285714285714
"Oblada_melanura","Diplodus_sargus","Diplodus_sargus__Oblada_melanura","Phylum","Actinobacteria","taxo_q0",1
"Pagellus_acarne","Diplodus_sargus","Diplodus_sargus__Pagellus_acarne","Phylum","Actinobacteria","taxo_q0",0.5
"Pagellus_erythrinus","Diplodus_sargus","Diplodus_sargus__Pagellus_erythrinus","Phylum","Actinobacteria","taxo_q0",1.25
"Pagrus_pagrus","Diplodus_sargus","Diplodus_sargus__Pagrus_pagrus","Phylum","Actinobacteria","taxo_q0",1.33333333333333
"Sarpa_salpa","Diplodus_sargus","Diplodus_sargus__Sarpa_salpa","Phylum","Actinobacteria","taxo_q0",0.111111111111111
"Sparus_aurata","Diplodus_sargus","Diplodus_sargus__Sparus_aurata","Phylum","Actinobacteria","taxo_q0",1.4
"Lithognathus_mormyrus","Diplodus_vulgaris","Diplodus_vulgaris__Lithognathus_mormyrus","Phylum","Actinobacteria","taxo_q0",1
"Oblada_melanura","Diplodus_vulgaris","Diplodus_vulgaris__Oblada_melanura","Phylum","Actinobacteria","taxo_q0",1.33333333333333
"Pagellus_acarne","Diplodus_vulgaris","Diplodus_vulgaris__Pagellus_acarne","Phylum","Actinobacteria","taxo_q0",0.230769230769231
"Pagellus_erythrinus","Diplodus_vulgaris","Diplodus_vulgaris__Pagellus_erythrinus","Phylum","Actinobacteria","taxo_q0",0.777777777777778
"Pagrus_pagrus","Diplodus_vulgaris","Diplodus_vulgaris__Pagrus_pagrus","Phylum","Actinobacteria","taxo_q0",1.28571428571429
"Sarpa_salpa","Diplodus_vulgaris","Diplodus_vulgaris__Sarpa_salpa","Phylum","Actinobacteria","taxo_q0",0.4
"Sparus_aurata","Diplodus_vulgaris","Diplodus_vulgaris__Sparus_aurata","Phylum","Actinobacteria","taxo_q0",1
"Oblada_melanura","Lithognathus_mormyrus","Lithognathus_mormyrus__Oblada_melanura","Phylum","Actinobacteria","taxo_q0",1
"Pagellus_acarne","Lithognathus_mormyrus","Lithognathus_mormyrus__Pagellus_acarne","Phylum","Actinobacteria","taxo_q0",1
"Pagellus_erythrinus","Lithognathus_mormyrus","Lithognathus_mormyrus__Pagellus_erythrinus","Phylum","Actinobacteria","taxo_q0",1.4
"Pagrus_pagrus","Lithognathus_mormyrus","Lithognathus_mormyrus__Pagrus_pagrus","Phylum","Actinobacteria","taxo_q0",1
"Sarpa_salpa","Lithognathus_mormyrus","Lithognathus_mormyrus__Sarpa_salpa","Phylum","Actinobacteria","taxo_q0",0.666666666666667
"Sparus_aurata","Lithognathus_mormyrus","Lithognathus_mormyrus__Sparus_aurata","Phylum","Actinobacteria","taxo_q0",2
"Pagellus_acarne","Oblada_melanura","Oblada_melanura__Pagellus_acarne","Phylum","Actinobacteria","taxo_q0",1.28571428571429
"Pagellus_erythrinus","Oblada_melanura","Oblada_melanura__Pagellus_erythrinus","Phylum","Actinobacteria","taxo_q0",1.66666666666667
"Pagrus_pagrus","Oblada_melanura","Oblada_melanura__Pagrus_pagrus","Phylum","Actinobacteria","taxo_q0",3
"Sarpa_salpa","Oblada_melanura","Oblada_melanura__Sarpa_salpa","Phylum","Actinobacteria","taxo_q0",1
"Pagellus_erythrinus","Pagellus_acarne","Pagellus_acarne__Pagellus_erythrinus","Phylum","Actinobacteria","taxo_q0",0.6
"Pagrus_pagrus","Pagellus_acarne","Pagellus_acarne__Pagrus_pagrus","Phylum","Actinobacteria","taxo_q0",1
"Sarpa_salpa","Pagellus_acarne","Pagellus_acarne__Sarpa_salpa","Phylum","Actinobacteria","taxo_q0",0.454545454545455
"Sparus_aurata","Pagellus_acarne","Pagellus_acarne__Sparus_aurata","Phylum","Actinobacteria","taxo_q0",1
"Pagrus_pagrus","Pagellus_erythrinus","Pagellus_erythrinus__Pagrus_pagrus","Phylum","Actinobacteria","taxo_q0",1
