"sample_a","sample_b","spl_comb","species_a","species_b","sp_comb","Phylum_taxo_q0","Phylum_taxo_q1","Phylum_taxo_q2","Phylum_phylo_q0","Phylum_phylo_q1","Phylum_phylo_q2","Class_taxo_q0","Class_taxo_q1","Class_taxo_q2","Class_phylo_q0","Class_phylo_q1","Class_phylo_q2","Order_taxo_q0","Order_taxo_q1","Order_taxo_q2","Order_phylo_q0","Order_phylo_q1","Order_phylo_q2","Family_taxo_q0","Family_taxo_q1","Family_taxo_q2","Family_phylo_q0","Family_phylo_q1","Family_phylo_q2","Genus_taxo_q0","Genus_taxo_q1","Genus_taxo_q2","Genus_phylo_q0","Genus_phylo_q1","Genus_phylo_q2","OTU_taxo_q0","OTU_taxo_q1","OTU_taxo_q2","OTU_phylo_q0","OTU_phylo_q1","OTU_phylo_q2"
"F-F104-B","F-F084-B","F-F084-B__F-F104-B","Diplodus_sargus","Sarpa_salpa","Diplodus_sargus__Sarpa_salpa",0.4,0.128703017790449,0.0937318853113582,0.298863321361838,0.103308536231097,0.0628288245693913,0.263157894736842,0.602005102857987,0.739661067199691,0.212620770070274,0.401074151170069,0.314354314940096,0.517241379310345,0.673575330564884,0.779187545625494,0.376710105276351,0.446162770862061,0.314990575048427,0.681818181818182,0.780184711268661,0.838459963709957,0.520109366368325,0.555986796204926,0.440787570450843,0.853658536585366,0.898056653586838,0.955586778627667,0.65983687850394,0.50156953378932,0.269748509716401,0.906542056074766,0.954088277371442,0.985031561926333,0.764485871333537,0.50144844378283,0.226570698100754
"F-F116-B","F-F084-B","F-F084-B__F-F116-B","Diplodus_sargus","Sarpa_salpa","Diplodus_sargus__Sarpa_salpa",0,0.0787422670260591,0.103378623472122,0,0.0658577497091752,0.0724298774280039,0.166666666666667,0.606510747412885,0.806855588652485,0.118781351783157,0.409023623435711,0.377824321761715,0.529411764705882,0.748389945026897,0.860244874155242,0.330493745005856,0.473159511456354,0.380550684207665,0.545454545454545,0.760170982668525,0.841085552723445,0.368494696361939,0.545489547698363,0.500441226879604,0.783783783783784,0.875832780688717,0.951017270198011,0.556185108329163,0.493823205515875,0.331154169938988,0.918604651162791,0.969931389071911,0.992512841609499,0.728205352438901,0.50161948078136,0.2648797249121
"F-F121-B","F-F084-B","F-F084-B__F-F121-B","Diplodus_sargus","Sarpa_salpa","Diplodus_sargus__Sarpa_salpa",0.454545454545455,0.0614835542814864,0.036471162491015,0.35117092752511,0.0481376813318966,0.0234620649490223,0.3,0.443813392707324,0.488084443604165,0.250887117937159,0.309132735933701,0.209771873260651,0.67741935483871,0.570163528241865,0.563224293646225,0.484933449586892,0.386240307700172,0.223777113076212,0.75609756097561,0.675043573583862,0.659071477034873,0.582424298810558,0.491599262374415,0.336219362720182,0.868421052631579,0.787480573626611,0.833827853487387,0.694850330607402,0.443350955054483,0.202637271785143,0.877437325905293,0.891652071108554,0.958174526675818,0.762241286379311,0.455512231900362,0.192105444646123
"F-F200-B","F-F084-B","F-F084-B__F-F200-B","Diplodus_sargus","Pagellus_erythrinus","Diplodus_sargus__Pagellus_erythrinus",0.6,0.773828819310283,0.911066869157534,0.45509390015483,0.54553299619591,0.4411640329149,0.5,0.806915594314111,0.962346870502817,0.385419917811322,0.422624147048596,0.310001820807735,0.777777777777778,0.917807417792294,0.991559691468818,0.593695093205989,0.46366844386822,0.302189824969532,0.757575757575758,0.936003952403272,0.996136647722645,0.610704743089542,0.542753034997926,0.416093808862326,0.882352941176471,0.965880986361031,0.998440127515463,0.703784942867146,0.471558694448264,0.292307358394279,0.819354838709677,0.973689372522919,0.999222039363791,0.733676232251195,0.464804504656626,0.261485490110125
"F-F201-B","F-F084-B","F-F084-B__F-F201-B","Diplodus_sargus","Pagellus_erythrinus","Diplodus_sargus__Pagellus_erythrinus",0.25,0.507463100559942,0.600646404842527,0.174732432295469,0.398101148848001,0.326808529820693,0.428571428571429,0.716393664949527,0.870256933798024,0.28250818251599,0.524287956882094,0.382613280085167,0.692307692307692,0.809656761098534,0.914561229929808,0.494658649504475,0.559567699607433,0.364239268332288,0.705882352941176,0.819576764428998,0.947246319587558,0.533391891019136,0.653543792942774,0.58653178291646,0.890909090909091,0.889984352285335,0.966238022166611,0.673489990519782,0.581711179702312,0.345478757724765,0.862068965517241,0.923114530553436,0.972388997721279,0.708509683559943,0.563515030336207,0.324580168035611
"F-F202-B","F-F084-B","F-F084-B__F-F202-B","Diplodus_sargus","Pagellus_erythrinus","Diplodus_sargus__Pagellus_erythrinus",0.666666666666667,0.679605617911991,0.678992810136474,0.445404913509877,0.526415205243544,0.368701043574204,0.636363636363636,0.775462719270363,0.853289457845368,0.50840786574464,0.58489795699432,0.403425357044068,0.647058823529412,0.830660423048827,0.902315268472895,0.534504388686108,0.600888989699783,0.368067664193437,0.727272727272727,0.85527618330825,0.95421035427507,0.628179431217122,0.709410695488393,0.59125459733549,0.925925925925926,0.959286929965222,0.98889377616414,0.690524760755834,0.639249083903316,0.364209244498111,0.888888888888889,0.963923326175727,0.993354621520248,0.723964222982691,0.615960624930235,0.342434704448826
"F-F207-B","F-F084-B","F-F084-B__F-F207-B","Diplodus_sargus","Pagrus_pagrus","Diplodus_sargus__Pagrus_pagrus",0.428571428571429,0.556824124894574,0.646059153960467,0.285630179625908,0.445120348439892,0.437642329121952,0.285714285714286,0.680078384922402,0.823146363779206,0.211993760105755,0.49858989344819,0.499857519578578,0.454545454545455,0.915657881464363,0.993052090265506,0.369802434747724,0.581167021340851,0.510576157214483,0.62962962962963,0.946747352277812,0.995196399031386,0.477958604256211,0.687260664142111,0.706540113463491,0.757575757575758,0.948559565493451,0.995112169595309,0.563532578988973,0.595833088604553,0.510895399667891,0.930434782608696,0.992761156457357,0.999043183249204,0.666500799673584,0.58851214238712,0.49301802904212
"F-F214-B","F-F084-B","F-F084-B__F-F214-B","Diplodus_sargus","Diplodus_sargus","Diplodus_sargus__Diplodus_sargus",0.333333333333333,0.59281755854855,0.666060071941059,0.239646862514058,0.482199896529861,0.460008004195631,0.333333333333333,0.66854958334878,0.797673251338318,0.210286889643317,0.537439087145873,0.474572726741636,0.545454545454545,0.82376972624437,0.962409306226034,0.337080159274198,0.586256361008039,0.452289292088206,0.692307692307692,0.885908653170539,0.974847445826493,0.436787462907296,0.701467049308597,0.666895605984443,0.771428571428571,0.909266660078198,0.981405686700405,0.502337263796781,0.61305292595429,0.462472003528257,0.94,0.992560116928295,0.999834346035342,0.670704099413371,0.602568918569122,0.434905673637416
"F-F215-B","F-F084-B","F-F084-B__F-F215-B","Diplodus_sargus","Pagrus_pagrus","Diplodus_sargus__Pagrus_pagrus",0.6,0.0787251995019411,0.0480650747260132,0.45509390015483,0.0617317894989566,0.0298653191205902,0.333333333333333,0.129669676696343,0.0915059749592693,0.28475254306584,0.094047150366257,0.044790173555449,0.4,0.216753197828337,0.10523785723422,0.36186839123717,0.14545703693919,0.0470741703497084,0.476190476190476,0.255257994451474,0.12619933402805,0.423087286802821,0.181161017685939,0.080771274964871,0.647058823529412,0.353554115728364,0.193191032577416,0.540365179220053,0.179529879123141,0.0553232752659014,0.789090909090909,0.522124015476789,0.237575787097031,0.662375711852762,0.199803479135573,0.0483507867978199
"F-F216-B","F-F084-B","F-F084-B__F-F216-B","Diplodus_sargus","Sparus_aurata","Diplodus_sargus__Sparus_aurata",0.555555555555556,0.0977449057246398,0.0787496437340012,0.413125454299791,0.0814984955297287,0.0496599362866164,0.294117647058824,0.239187817366877,0.209561639507784,0.262300217598219,0.17777905728766,0.103865945221833,0.6,0.564045417849343,0.599547681448913,0.46900331266118,0.324910171213965,0.165346254891728,0.611111111111111,0.6409131616324,0.692917119030113,0.485289479902693,0.399087460753808,0.276635246688471,0.781818181818182,0.835252469828504,0.859649681138765,0.61934104766898,0.401662006903281,0.17492711903533,0.845410628019324,0.856714673180385,0.870078193168759,0.719342791019177,0.392219383756942,0.15634572087218
