"feature","kw_pvalues","kw_pvalues_fdr","num_sign_diff","prop_sign_diff","LDA_score","min_ab","max_ab","max_diff","max_gp","Domain","Phylum","Class","Order","Family","Genus","Species","OTU"
"Desulfotomaculum",2.1693e-06,0.00010126,11,0.166666666666667,3.36506695722785,0,0.00778247192898222,0.00778247192898222,"Diplodus_puntazzo","Bacteria","Acidobacteria","Holophagae","Subgroup_7",NA,"Desulfotomaculum",NA,"otu_1456"
"Longilinea",2.1693e-06,0.00010126,11,0.166666666666667,2.97622596531036,0,0.0181842667484805,0.0181842667484805,"Diplodus_puntazzo","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Longilinea",NA,"otu_0411"
"Phocea",2.202e-06,0.00010126,11,0.166666666666667,3.64813354554604,0,0.0446266882034394,0.0446266882034394,"Boops_boops","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Phocea",NA,"otu_0986"
"Oceanicella",2.2503e-06,0.00010126,11,0.166666666666667,2.26931711597532,0,0.065599662841769,0.065599662841769,"Pagellus_erythrinus","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Oceanicella",NA,"otu_1230"
"Mobilitalea",2.3675e-05,0.00085229,11,0.166666666666667,5.9999995657053,0,0.00209119393384771,0.00209119393384771,"Sarpa_salpa","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Mobilitalea",NA,"otu_0937"
"Mycoplasma",0.00013143,0.0039429,11,0.166666666666667,4.57828492016043,0,0.00690937125798994,0.00690937125798994,"Sarpa_salpa","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma",NA,"otu_0404"
"Bacteria_Planctomycetes_Planctomycetacia_Pirellulales_Pirellulaceae_Mariniblastus",0.0015042,0.030084,11,0.166666666666667,4.54291222933038,0,0.0204193516219564,0.0204193516219564,"Pagellus_erythrinus",NA,NA,NA,NA,NA,NA,NA,NA
"Ahrensia",0.0014881,0.030084,11,0.166666666666667,1.94838002120666,0,0.0293135362838035,0.0293135362838035,"Pagellus_erythrinus","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ahrensia",NA,"otu_1180"
"Microbulbifer",0.0013018,0.030084,11,0.166666666666667,3.97630158340425,0,0.00873465533522191,0.00873465533522191,"Diplodus_puntazzo","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Microbulbiferaceae","Microbulbifer",NA,"otu_1613"
"Subdoligranulum",0.0017711,0.03188,11,0.166666666666667,5.14894976687293,0,0.00190364114633809,0.00190364114633809,"Pagellus_acarne","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Subdoligranulum",NA,"otu_1087"
"Sulfitobacter",0.0026609,0.043541,10,0.151515151515152,4.18158777524434,0,0.00634064602466048,0.00634064602466048,"Pagellus_erythrinus","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sulfitobacter",NA,"otu_1591"
